COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
48,4196.41,4095.9,4522.05,4154.87,3905.13,4330.26,4064.62,4453.33,4281.54,3944.1,4807.18,4222.56,4242.56,4418.46,1618,1594,70.755,0,0,0,0,
49,4188.72,4091.28,4520.51,4160,3903.59,4328.21,4060,4443.59,4280,3932.82,4810.26,4223.59,4238.46,4421.54,1619,1595,70.762,0,0,0,0,
50,4198.46,4090.26,4523.08,4175.38,3902.05,4332.82,4068.21,4464.62,4306.67,3951.79,4825.64,4246.15,4256.92,4442.56,1619,1596,70.77,0,0,0,0,
51,4208.72,4085.13,4529.74,4178.46,3897.44,4318.97,4071.28,4479.49,4329.23,3975.9,4833.85,4254.36,4270.26,4449.23,1619,1596,70.778,0,0,0,0,
52,4201.54,4076.41,4522.05,4165.64,3892.31,4302.56,4061.03,4457.44,4312.31,3969.23,4820,4234.36,4265.64,4428.21,1619,1595,70.785,0,0,0,0,
53,4198.46,4077.44,4508.21,4165.64,3894.36,4308.21,4061.03,4445.13,4290.77,3951.28,4809.74,4225.64,4260.51,4419.49,1619,1595,70.793,0,0,0,0,
54,4204.62,4081.03,4504.62,4185.13,3894.36,4322.56,4074.87,4461.54,4296.92,3952.31,4818.46,4233.33,4263.08,4428.21,1619,1594,70.801,0,0,0,0,
55,4203.08,4078.46,4505.64,4201.03,3894.36,4328.72,4079.49,4468.21,4305.13,3961.54,4818.97,4230.77,4264.62,4426.67,1618,1595,70.809,0,0,0,0,
56,4196.41,4076.92,4505.64,4202.05,3902.05,4326.67,4073.33,4461.03,4309.74,3965.13,4812.82,4222.05,4261.54,4417.95,1619,1595,70.817,0,0,0,0,
57,4189.74,4072.82,4499.49,4198.97,3912.31,4322.05,4066.67,4456.92,4304.1,3960,4808.21,4213.85,4258.46,4410.77,1617,1598,70.824,0,0,0,0,
58,4189.74,4067.69,4497.44,4200,3914.87,4322.56,4062.05,4455.9,4295.9,3956.92,4807.18,4213.85,4265.13,4412.31,1618,1599,70.832,0,0,0,0,
59,4207.69,4072.31,4505.13,4203.08,3914.87,4319.49,4061.54,4456.92,4298.97,3964.62,4818.46,4228.72,4282.05,4424.62,1617,1597,70.84,0,0,0,0,
60,4218.97,4077.95,4509.23,4211.28,3911.28,4310.77,4062.56,4462.56,4305.64,3977.44,4829.74,4238.97,4287.18,4430.77,1616,1596,70.849,0,0,0,0,
61,4209.23,4072.82,4503.59,4214.87,3909.74,4314.36,4061.03,4464.62,4304.1,3977.44,4826.15,4233.33,4283.08,4426.67,1616,1594,70.856,0,0,0,0,
62,4205.13,4072.31,4502.05,4215.9,3921.03,4318.97,4058.97,4460,4295.38,3962.05,4824.1,4230.26,4282.05,4427.18,1616,1593,70.864,0,0,0,0,
63,4213.33,4077.44,4510.26,4223.59,3918.46,4313.33,4061.54,4455.9,4290.77,3960,4829.23,4234.87,4271.28,4433.85,1616,1592,70.871,0,0,0,0,
64,4215.9,4071.79,4511.28,4220.51,3911.28,4311.79,4068.72,4459.49,4296.92,3972.82,4824.1,4235.38,4251.79,4440,1616,1593,70.879,0,0,0,0,
65,4215.38,4067.18,4506.67,4211.28,3921.54,4315.38,4069.23,4461.54,4307.18,3976.41,4822.05,4235.9,4247.18,4443.08,1616,1594,70.888,0,0,0,0,
66,4216.92,4071.28,4507.18,4225.13,3919.49,4309.23,4062.05,4457.44,4308.21,3975.38,4827.18,4235.38,4251.28,4438.46,1616,1594,70.895,0,0,0,0,
67,4214.36,4077.44,4504.62,4239.49,3913.33,4309.74,4059.49,4457.44,4307.18,3979.49,4821.54,4231.79,4248.72,4435.9,1617,1593,70.903,0,0,0,0,
68,4217.95,4076.41,4495.9,4226.15,3933.33,4318.97,4063.59,4456.41,4303.59,3971.79,4814.87,4233.85,4246.15,4438.46,1616,1593,70.91,0,0,0,0,
69,4220,4069.23,4489.74,4210.26,3942.56,4316.41,4058.97,4445.13,4292.31,3963.59,4815.38,4231.28,4243.08,4434.87,1618,1593,70.918,0,0,0,0,
70,4207.69,4065.13,4490.26,4216.92,3920,4310.77,4049.74,4437.95,4287.69,3968.21,4816.92,4217.95,4235.9,4426.15,1616,1594,70.926,0,0,0,0,
71,4205.13,4068.21,4492.31,4232.82,3906.15,4311.28,4050.26,4445.13,4294.36,3972.82,4816.92,4215.9,4233.33,4427.18,1617,1594,70.934,0,0,0,0,
72,4212.82,4065.13,4491.79,4228.21,3908.72,4309.74,4051.28,4446.67,4297.44,3973.85,4808.21,4224.1,4229.74,4428.72,1617,1593,70.942,0,0,0,0,
73,4213.85,4059.49,4490.77,4212.31,3913.33,4308.21,4047.69,4443.08,4289.74,3974.36,4801.54,4222.05,4222.56,4422.05,1616,1593,70.95,0,0,0,0,
74,4216.41,4069.23,4490.26,4219.49,3922.56,4308.72,4053.85,4451.79,4288.72,3976.41,4811.28,4218.97,4228.72,4423.59,1616,1592,70.957,0,0,0,0,
75,4215.9,4076.41,4490.77,4237.44,3932.82,4310.26,4055.9,4451.79,4286.67,3968.72,4812.31,4223.59,4236.92,4425.64,1616,1592,70.965,0,0,0,0,
76,4207.69,4069.74,4489.74,4230.77,3936.41,4311.79,4047.69,4437.44,4277.44,3964.1,4803.08,4222.05,4232.82,4418.97,1616,1592,70.973,0,0,0,0,
77,4206.67,4069.23,4488.72,4215.38,3924.1,4305.13,4050.77,4438.46,4276.92,3977.44,4808.72,4217.44,4226.15,4418.97,1615,1591,70.981,0,0,0,0,
78,4215.9,4077.95,4485.13,4217.44,3907.69,4297.44,4057.95,4445.13,4276.92,3980.51,4811.28,4217.95,4222.05,4424.1,1617,1591,70.989,0,0,0,0,
79,4217.95,4076.92,4477.44,4220.51,3911.79,4301.54,4048.72,4434.87,4264.1,3960.51,4798.97,4216.92,4215.9,4417.44,1616,1591,70.996,0,0,0,0,
80,4210.77,4062.05,4473.33,4212.82,3923.08,4311.28,4043.59,4426.15,4255.9,3950.26,4790.26,4211.79,4213.33,4407.69,1617,1592,71.004,0,0,0,0,
81,4204.62,4059.49,4471.79,4210.77,3929.23,4315.38,4051.28,4427.69,4263.08,3956.92,4787.69,4208.72,4213.33,4408.21,1616,1592,71.012,0,0,0,0,
